INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
CC's Cosmetology College-Texarkana,Texarkana,AR,71854,NULL,www.cccosmetologcollege.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18400,NULL,NULL,NULL,NULL,31.65789474,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.535714286,8022,3120
YTI Career Institute - Altoona,Altoona,PA,166024457,NULL,www.yti.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25172,NULL,NULL,NULL,NULL,26.33962264,0.78490566,0.158490566,PrivacySuppressed,0.560669456,31631.19245,20335
SW School of Business & Technical Careers,Uvalde,TX,788015242,Council on Occupational Education,www.sws.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14600,NULL,NULL,NULL,NULL,28.01020408,PrivacySuppressed,0.275510204,PrivacySuppressed,0.617647059,22121.33674,14218.5
SW School of Business & Technical Careers,San Antonio,TX,782211003,NULL,www.sws.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14600,NULL,NULL,NULL,NULL,28.01020408,PrivacySuppressed,0.275510204,PrivacySuppressed,0.617647059,22121.33674,14218.5
SW School of Business and Technical Careers-Del Rio,Del Rio,TX,788405865,Council on Occupational Education,www.sws.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14600,NULL,NULL,NULL,NULL,25.87861272,0.924855491,0.231213873,PrivacySuppressed,0.625,22420.04046,16436
SW School of Business and Technical Careers-North Campus,Austin,TX,787175865,NULL,www.sws.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.87861272,0.924855491,0.231213873,PrivacySuppressed,0.625,22420.04046,16436
SW School of Business and Technical Careers-South Campus,Austin,TX,787455865,Council on Occupational Education,www.sws.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14600,NULL,NULL,NULL,NULL,25.87861272,0.924855491,0.231213873,PrivacySuppressed,0.625,22420.04046,16436
Westech College,Moreno Valley,CA,92553,NULL,www.westech.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14771,NULL,NULL,NULL,NULL,26.05084746,0.727118644,0.144067797,0.023728814,0.571776156,16935.05254,10644.5
Westech College,Victorville,CA,92395,NULL,www.westech.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14771,NULL,NULL,NULL,NULL,26.05084746,0.727118644,0.144067797,0.023728814,0.571776156,16935.05254,10644.5
Everglades University-Orlando,Maitland,FL,32751,Southern Association of Colleges and Schools Commission on Colleges,www.EvergladesUniversity.edu,2,NULL,NULL,NULL,NULL,0.743554953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16400,NULL,NULL,NULL,NULL,NULL,NULL,33.50527325,0.552253116,0.360498562,0.031639501,0.418023887,31493.81208,22435
Everglades University-Sarasota,Sarasota,FL,34240,Southern Association of Colleges and Schools Commission on Colleges,www.EvergladesUniversity.edu,2,NULL,NULL,NULL,NULL,0.743554953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16400,NULL,NULL,NULL,NULL,NULL,NULL,33.50527325,0.552253116,0.360498562,0.031639501,0.418023887,31493.81208,22435
Everglades University - Tampa,Tampa,FL,336340000,Southern Association of Colleges and Schools Commission on Colleges,www.evergladesuniversity.edu,2,NULL,NULL,NULL,NULL,0.743554953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16400,NULL,NULL,NULL,NULL,NULL,NULL,33.50527325,0.552253116,0.360498562,0.031639501,0.418023887,31493.81208,22435
